group_id,id,total.minutes,date_arrive,id_count,date
2018-08-08_1116,1116,17.0,08/08/2018,1,2018-08-08
2018-08-08_1124,1124,45.0,08/08/2018,1,2018-08-08
2018-08-08_12,2542_3142,24.0,08/08/2018,2,2018-08-08
2018-08-08_13,1119_1120,41.0,08/08/2018,2,2018-08-08
2018-08-08_14,1121_3117,9.0,08/08/2018,2,2018-08-08
2018-08-08_2038,2038,141.5,08/08/2018,1,2018-08-08
2018-08-08_3,1121_3117,32.0,08/08/2018,2,2018-08-08
2018-08-08_4,1030_1119,53.0,08/08/2018,2,2018-08-08
2018-08-08_5,1028_3117,74.0,08/08/2018,2,2018-08-08
2018-08-08_6,1031_1120,12.0,08/08/2018,2,2018-08-08
2018-08-08_7,1010_2539_3118,13.0,08/08/2018,3,2018-08-08
2018-08-08_8,2522_3117,168.0,08/08/2018,2,2018-08-08
2018-08-08_9,1121_1122,195.0,08/08/2018,2,2018-08-08
2018-08-09_1,1028_1121_3117,17.0,09/08/2018,3,2018-08-09
2018-08-09_1030,1030,41.0,09/08/2018,1,2018-08-09
2018-08-09_1032,1032,13.0,09/08/2018,1,2018-08-09
2018-08-09_11,1031_1120,174.0,09/08/2018,2,2018-08-09
2018-08-09_1119,1119,28.0,09/08/2018,1,2018-08-09
2018-08-09_1124,1124,138.5,09/08/2018,1,2018-08-09
2018-08-09_12,1008_1009_1016_3119,28.0,09/08/2018,4,2018-08-09
2018-08-09_13,1009_1011_2513_2544,25.333333333333332,09/08/2018,4,2018-08-09
2018-08-09_14,1007_1010_1032_2055_2523_2544_3118,49.125,09/08/2018,7,2018-08-09
2018-08-09_16,1010_1011_2513_2523_2538_2539_2542_2544_3118,34.7,09/08/2018,9,2018-08-09
2018-08-09_17,1031_1120,52.0,09/08/2018,2,2018-08-09
2018-08-09_18,1028_1121_3117,14.0,09/08/2018,3,2018-08-09
2018-08-09_19,1023_1028_1121_2522_3117,85.0,09/08/2018,5,2018-08-09
2018-08-09_2,1030_1120,46.0,09/08/2018,2,2018-08-09
2018-08-09_2030,2030,365.0,09/08/2018,1,2018-08-09
2018-08-09_2055,2055,15.0,09/08/2018,1,2018-08-09
2018-08-09_2523,2523,13.0,09/08/2018,1,2018-08-09
2018-08-09_3142,3142,427.0,09/08/2018,1,2018-08-09
2018-08-09_5,1007_1010_1032_2523_2539_2544_3118,133.0,09/08/2018,7,2018-08-09
2018-08-09_6,1030_1032,19.0,09/08/2018,2,2018-08-09
2018-08-09_7,1031_3117,68.0,09/08/2018,2,2018-08-09
2018-08-09_8,1006_1122_2055,245.0,09/08/2018,3,2018-08-09
2018-08-09_9,1028_1102_1116_1121_2031_2522_3117,455.85714285714283,09/08/2018,7,2018-08-09
2018-08-10_10,1010_2523_2539,36.0,10/08/2018,3,2018-08-10
2018-08-10_1006,1006,40.5,10/08/2018,1,2018-08-10
2018-08-10_1010,1010,10.0,10/08/2018,1,2018-08-10
2018-08-10_1101,1101,54.0,10/08/2018,1,2018-08-10
2018-08-10_1102,1102,18.0,10/08/2018,1,2018-08-10
2018-08-10_1103,1103,163.5,10/08/2018,1,2018-08-10
2018-08-10_1119,1119,41.0,10/08/2018,1,2018-08-10
2018-08-10_1120,1120,61.0,10/08/2018,1,2018-08-10
2018-08-10_1122,1122,128.0,10/08/2018,1,2018-08-10
2018-08-10_1124,1124,133.5,10/08/2018,1,2018-08-10
2018-08-10_12,1023_1106,232.0,10/08/2018,2,2018-08-10
2018-08-10_13,1035_3117,102.0,10/08/2018,2,2018-08-10
2018-08-10_14,1032_1122,243.0,10/08/2018,2,2018-08-10
2018-08-10_15,1007_2513_2523,34.333333333333336,10/08/2018,3,2018-08-10
2018-08-10_16,1007_2523_2544_3118,28.5,10/08/2018,4,2018-08-10
2018-08-10_17,1006_1101_3040,65.0,10/08/2018,3,2018-08-10
2018-08-10_18,1007_2513_2523_2544_3118,53.6,10/08/2018,5,2018-08-10
2018-08-10_19,1023_1121,27.0,10/08/2018,2,2018-08-10
2018-08-10_2030,2030,382.0,10/08/2018,1,2018-08-10
2018-08-10_2031,2031,62.0,10/08/2018,1,2018-08-10
2018-08-10_2038,2038,83.0,10/08/2018,1,2018-08-10
2018-08-10_2522,2522,86.5,10/08/2018,1,2018-08-10
2018-08-10_2539,2539,2.0,10/08/2018,1,2018-08-10
2018-08-10_3040,3040,54.5,10/08/2018,1,2018-08-10
2018-08-10_3077,3077,77.0,10/08/2018,1,2018-08-10
2018-08-10_4,1119_1120,306.0,10/08/2018,2,2018-08-10
2018-08-10_5,1023_3117,62.0,10/08/2018,2,2018-08-10
2018-08-10_7,1006_1032_1122_2523_3040,74.6,10/08/2018,5,2018-08-10
2018-08-10_8,1007_2513,135.5,10/08/2018,2,2018-08-10
2018-08-10_9,2544_3118,129.5,10/08/2018,2,2018-08-10
2018-08-11_1,1101_3040,397.0,11/08/2018,2,2018-08-11
2018-08-11_10,1116_1124,522.0,11/08/2018,2,2018-08-11
2018-08-11_11,1008_2539,9.0,11/08/2018,2,2018-08-11
2018-08-11_1103,1103,154.0,11/08/2018,1,2018-08-11
2018-08-11_1124,1124,298.0,11/08/2018,1,2018-08-11
2018-08-11_12,1031_1120,61.0,11/08/2018,2,2018-08-11
2018-08-11_13,1032_1122_2523,11.333333333333334,11/08/2018,3,2018-08-11
2018-08-11_14,1008_1009_1010_1031_1032_1120_2523_3041,10.625,11/08/2018,8,2018-08-11
